"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 18:53:33 GMT 2024","Thu Feb 22 18:53:34 GMT 2024","1071","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Thu Feb 22 18:53:25 GMT 2024","Thu Feb 22 18:53:30 GMT 2024","5092","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
