"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 22 18:41:27 GMT 2024","Thu Feb 22 18:41:27 GMT 2024","91","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Thu Feb 22 18:41:30 GMT 2024","Thu Feb 22 18:41:31 GMT 2024","1130","test","test_hootel","TestHootel","","","test_hotel_list",""
