"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 22 18:57:46 GMT 2024","Thu Feb 22 18:57:51 GMT 2024","5198","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Thu Feb 22 18:57:53 GMT 2024","Thu Feb 22 18:57:54 GMT 2024","1102","test","test_hootel","TestHootel","","","test_hotel_list",""
